3000.,Enemy,3,555.,50.,0,0.2,0.15,0,0.3,500.,100,0
1000.,Enemy,3,555.,50.,0,0.2,0.15,0,0.3,500.,100,0
1000.,Enemy,3,555.,50.,0,0.2,0.15,0,0.3,500.,100,0
3000.,Enemy,5,20.,50.,3,0.1,0.15,2,0.2,750.,100,0
1000.,Enemy,3,341.,50.,1,0.1,0.15,0,0.2,500.,100,0
1000.,Enemy,3,341.,50.,1,0.1,0.15,0,0.2,500.,100,0
1000.,Enemy,3,341.,50.,1,0.1,0.15,0,0.2,500.,100,0
3000.,Enemy,10,555.,50.,3,0.1,0.15,2,0.2,250.,100,0
4000.,Enemy,3,341.,50.,2,0.1,0.15,0,0.2,500.,100,0
1000.,Enemy,3,341.,50.,2,0.1,0.15,0,0.2,500.,100,0
1000.,Enemy,3,341.,50.,2,0.1,0.15,0,0.2,500.,100,0
4000.,Boss,20,250.,25.,3,0.1,0.15,4,0.10,50.,1000,1
