3000.,Enemy,3,555.,50.,0,0.2,0.15,0,0.3,500.,100,0
1000.,Enemy,3,555.,50.,0,0.2,0.15,0,0.3,500.,100,0
1000.,Enemy,3,555.,50.,0,0.2,0.15,0,0.3,500.,100,0
2000.,Enemy,3,20.,50.,0,0.2,0.15,0,0.3f,500.,100,0
1000.,Enemy,3,20.,50.,0,0.2,0.15f,0,0.3,500.,100,0
1000.,Enemy,3,20.,50.,0,0.2,0.15f,0,0.3,500.,100,0
3000.,Enemy,3,555.,50.,6,0.0,0.15,0,0.3,500.,100,0
1000.,Enemy,3,555.,50.,6,0.0,0.15,0,0.3,500.,100,0
1000.,Enemy,3,555.,50.,6,0.0,0.15,0,0.3,500.,100,0
2000.,Enemy,3,20.,50.,7,0.0,0.15,0,0.3,500.,100,0
1000.,Enemy,3,20.,50.,7,0.0,0.15,0,0.3,500.,100,0
1000.,Enemy,3,20.,50.,7,0.0,0.15,0,0.3,500.,100,0
3000.,Enemy,3,555.,50.,4,0.1,0.15,0,0.3,500.,100,0
1000.,Enemy,3,555.,50.,4,0.1,0.15,0,0.3,500.,100,0
1000.,Enemy,3,555.,50.,4,0.1,0.15,0,0.3,500.,100,0
2000.,Enemy,3,20.,50.,5,0.1,0.15,0,0.3,500.,100,0
1000.,Enemy,3,20.,50.,5,0.1,0.15,0,0.3,500.,100,0
1000.,Enemy,3,20.,50.,5,0.1,0.15,0,0.3,500.,100,0
3000.,Enemy,5,20.,50.,3,0.1,0.15,2,0.2,750.,100,0
1000.,Enemy,3,341.,50.,1,0.1,0.15,0,0.2,500.,100,0
1000.,Enemy,3,341.,50.,1,0.1,0.15,0,0.2,500.,100,0
1000.,Enemy,3,341.,50.,1,0.1,0.15,0,0.2,500.,100,0
3000.,Enemy,10,555.,50.,3,0.1,0.15,2,0.2,250.,100,0
4000.,Enemy,3,341.,50.,2,0.1,0.15,0,0.2,500.,100,0
1000.,Enemy,3,341.,50.,2,0.1,0.15,0,0.2,500.,100,0
1000.,Enemy,3,341.,50.,2,0.1,0.15,0,0.2,500.,100,0
4000.,Boss,100,341.,50.,3,0.1,0.15,2,0.2,500.,1000,1
